"date","individual","time","pos_beh","context","substrate","hab_type","sun","therm_t","t_lo","t_hi","time_od"
2018-06-06,"BN",06:25:00,"St","Fo","A","WD",0,30.1,25.7,31.3,"e_morning"
2018-06-06,"BN",06:30:00,"St","Fo","A","WD",0,30.2,25.8,31.1,"e_morning"
2018-06-06,"BN",06:36:00,"Sq","Fo","A","WD",0,30.5,23.3,30.1,"e_morning"
2018-06-06,"BN",06:40:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",06:47:00,"Sq","Fo","A","WD",0,30.9,25.9,33.5,"e_morning"
2018-06-06,"BN",06:51:00,"St","Fo","A","WD",0,30.4,25.1,31.8,"e_morning"
2018-06-06,"BN",06:55:00,"QW","Tv","T","GL",0,32.7,26.7,33.7,"e_morning"
2018-06-06,"BN",07:00:00,"Sq","Fo","A","WD",0,31.8,32,26.2,"e_morning"
2018-06-06,"BN",07:05:00,"QW","Tv","T","WD",0,33,26.2,32.3,"e_morning"
2018-06-06,"BN",07:10:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",07:14:00,"QW","Tv","A","WD",0,34.1,26.2,32.3,"e_morning"
2018-06-06,"BN",07:30:00,"St","RE","T","WD",25,32.4,26.9,34.2,"e_morning"
2018-06-06,"BN",07:36:00,"QW","Tv","T","WD",25,34.3,26.6,34.2,"e_morning"
2018-06-06,"BN",07:45:00,"St","Fo","A","WD",25,33.4,11.6,34.6,"e_morning"
2018-06-06,"BN",07:50:00,"St","So","A","WD",25,34.9,7.1,35.6,"e_morning"
2018-06-06,"BN",07:57:00,"St","RE","T","WD",0,32.4,26.6,32.4,"e_morning"
2018-06-06,"BN",08:04:00,"St","Fo","T","WD",25,32.6,28.1,32.4,"e_morning"
2018-06-06,"BN",08:10:00,"VC","Fo","A","WD",25,33.5,20.8,34.8,"e_morning"
2018-06-06,"BN",08:15:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",08:20:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",08:25:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",08:30:00,"St","Fo","A","WD",25,31.3,29,32.6,"e_morning"
2018-06-06,"BN",08:35:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_morning"
2018-06-06,"BN",08:40:00,"St","Fo","T","WD",50,37.4,29.1,32.6,"e_morning"
2018-06-06,"BN",08:46:00,"St","Fo","T","WD",75,36.6,26,41.2,"e_morning"
2018-06-06,"BN",08:50:00,"St","Fo","T","WD",75,36.1,26.7,42.2,"e_morning"
2018-06-06,"BN",08:56:00,"St","Fo","T","WD",75,35,24.4,35.2,"e_morning"
2018-06-06,"BN",09:00:00,"St","Fo","T","WD",100,37.1,24.8,36.5,"e_morning"
2018-06-06,"BN",09:05:00,"St","Fo","T","WD",100,37.3,23.4,36,"l_morning"
2018-06-06,"BN",09:10:00,"St","Fo","T","WD",100,37.5,29.8,37.5,"l_morning"
2018-06-06,"BN",09:15:00,"St","Fo","T","WD",100,35.4,28.6,36.4,"l_morning"
2018-06-06,"BN",09:20:00,"NA","NA","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:25:00,"NA","NA","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:31:00,"QS","So","T","WD",50,37.3,31.1,40.1,"l_morning"
2018-06-06,"BN",09:35:00,"NA","NA","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:40:00,"NA","RE","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:45:00,"NA","RE","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:50:00,"NA","RE","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",09:55:00,"NA","RE","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:00:00,"NA","Tv","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:05:00,"NA","Tv","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:10:00,"BpS","So","T","WD",25,34.7,28.4,36.3,"l_morning"
2018-06-06,"BN",10:16:00,"St","Fo","T","WD",75,34.1,29.6,49,"l_morning"
2018-06-06,"BN",10:20:00,"St","Fo","T","WD",75,37.2,30.5,52.7,"l_morning"
2018-06-06,"BN",10:25:00,"St","Fo","T","WD",75,36,30.5,51.4,"l_morning"
2018-06-06,"BN",10:30:00,"Ly","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:35:00,"Ly","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:40:00,"Ly","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:45:00,"Ly","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:50:00,"St","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",10:55:00,"St","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:00:00,"St","RE","T","WD",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:05:00,"St","RE","A","WD",25,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:10:00,"QW","Tv","T","GL",100,39,29.1,52.4,"l_morning"
2018-06-06,"BN",11:15:00,"Sq","RE","W","GA",25,38.7,30.2,52.2,"l_morning"
2018-06-06,"BN",11:20:00,"Sq","RE","W","GA",25,37.6,30.2,52.6,"l_morning"
2018-06-06,"BN",11:24:00,"QW","RE","T","GA",25,35.5,29.7,50.4,"l_morning"
2018-06-06,"BN",11:30:00,"Ly","Tv","T","GA",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:35:00,"Ly","RE","T","GA",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:40:00,"St","RE","T","GA",0,33.3,28.6,51.9,"l_morning"
2018-06-06,"BN",11:45:00,"QW","Tv","T","GA",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:50:00,"Ly","RE","T","GA",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",11:55:00,"Ly","RE","T","GA",0,NA,NA,NA,"l_morning"
2018-06-06,"BN",12:00:00,"NA","NA","NA","NA",NA,NA,NA,NA,"l_morning"
2018-06-06,"BN",12:05:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:10:00,"NA","NA","NA","NA",NA,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:15:00,"St","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:20:00,"St","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:25:00,"St","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:30:00,"Ly","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:35:00,"Ly","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:40:00,"Ly","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:45:00,"St","RE","A","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:50:00,"St","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",12:55:00,"St","RE","A","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:00:00,"QW","Tv","T","GA",0,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:05:00,"St","RE","W","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:10:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:15:00,"St","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:20:00,"St","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:25:00,"St","So","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:30:00,"Ly","So","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:35:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:40:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:45:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:50:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",13:55:00,"Ly","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",14:00:00,"St","RE","T","GA",25,NA,NA,NA,"e_afternoon"
2018-06-06,"BN",14:05:00,"St","So","T","GA",25,NA,NA,NA,"l_afternoon"
2018-06-06,"BN",14:10:00,"Ly","RE","T","GA",0,33.4,29,45.8,"l_afternoon"
2018-06-06,"BN",14:15:00,"St","RE","T","GA",0,38.6,31,61.3,"l_afternoon"
2018-06-06,"BN",14:20:00,"Ly","RE","T","GA",0,NA,NA,NA,"l_afternoon"
2018-06-06,"BN",14:25:00,"Ly","RE","T","GA",0,38.7,32.4,49,"l_afternoon"
2018-06-06,"BN",14:30:00,"Ly","RE","T","GA",0,NA,NA,NA,"l_afternoon"
2018-06-06,"BN",14:36:00,"Ly","RE","T","GA",0,32.3,26.8,48.5,"l_afternoon"
2018-06-06,"BN",14:40:00,"Ly","RE","T","GA",0,38.6,33.5,48.5,"l_afternoon"
