date,individual,time,pos_beh,context,substrate,hab_type,sun,temp,t_lo,t_hi
2018-06-06,BN,6:25,St,Fo,A,WD,0,30.1,25.7,31.3
2018-06-06,BN,6:30,St,Fo,A,WD,0,30.2,25.8,31.1
2018-06-06,BN,6:36,Sq,Fo,A,WD,0,30.5,23.3,30.1
2018-06-06,BN,6:40,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,6:47,Sq,Fo,A,WD,0,30.9,25.9,33.5
2018-06-06,BN,6:51,St,Fo,A,WD,0,30.4,25.1,31.8
2018-06-06,BN,6:55,QW,Tv,T,GL,0,32.7,26.7,33.7
2018-06-06,BN,7:00,Sq,Fo,A,WD,0,31.8,32,26.2
2018-06-06,BN,7:05,QW,Tv,T,WD,0,33,26.2,32.3
2018-06-06,BN,7:10,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,7:14,QW,Tv,A,WD,0,34.1,26.2,32.3
2018-06-06,BN,7:30,St,RE,T,WD,25,32.4,26.9,34.2
2018-06-06,BN,7:36,QW,Tv,T,WD,25,34.3,26.6,34.2
2018-06-06,BN,7:45,St,Fo,A,WD,25,33.4,11.6,34.6
2018-06-06,BN,7:50,St,So,A,WD,25,34.9,7.1,35.6
2018-06-06,BN,7:57,St,RE,T,WD,0,32.4,26.6,32.4
2018-06-06,BN,8:04,St,Fo,T,WD,25,32.6,28.1,32.4
2018-06-06,BN,8:10,VC,Fo,A,WD,25,33.5,20.8,34.8
2018-06-06,BN,8:15,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,8:20,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,8:25,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,8:30,St,Fo,A,WD,25,31.3,29,32.6
2018-06-06,BN,8:35,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,8:40,St,Fo,T,WD,50,37.4,29.1,32.6
2018-06-06,BN,8:46,St,Fo,T,WD,75,36.6,26,41.2
2018-06-06,BN,8:50,St,Fo,T,WD,75,36.1,26.7,42.2
2018-06-06,BN,8:56,St,Fo,T,WD,75,35,24.4,35.2
2018-06-06,BN,9:00,St,Fo,T,WD,100,37.1,24.8,36.5
2018-06-06,BN,9:05,St,Fo,T,WD,100,37.3,23.4,36
2018-06-06,BN,9:10,St,Fo,T,WD,100,37.5,29.8,37.5
2018-06-06,BN,9:15,St,Fo,T,WD,100,35.4,28.6,36.4
2018-06-06,BN,9:20,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:25,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:31,QS,So,T,WD,50,37.3,31.1,40.1
2018-06-06,BN,9:35,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:40,Os,RE,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:45,Os,RE,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:50,Os,RE,Os,Os,Os,Os,Os,Os
2018-06-06,BN,9:55,Os,RE,Os,Os,Os,Os,Os,Os
2018-06-06,BN,10:00,Os,Tv,Os,Os,Os,Os,Os,Os
2018-06-06,BN,10:05,Os,Tv,Os,Os,Os,Os,Os,Os
2018-06-06,BN,10:10,SBp,So,T,WD,25,34.7,28.4,36.3
2018-06-06,BN,10:16,St,Fo,T,WD,75,34.1,29.6,49
2018-06-06,BN,10:20,St,Fo,T,WD,75,37.2,30.5,52.7
2018-06-06,BN,10:25,St,Fo,T,WD,75,36,30.5,51.4
2018-06-06,BN,10:30,Ly,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,10:35,Ly,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,10:40,Ly,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,10:45,Ly,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,10:50,St,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,10:55,St,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,11:00,St,RE,T,WD,0,Os,Os,Os
2018-06-06,BN,11:05,St,RE,A,WD,25,Os,Os,Os
2018-06-06,BN,11:10,QW,Tv,T,GL,100,39,29.1,52.4
2018-06-06,BN,11:15,Sq,RE,W/T,GA,25,38.7,30.2,52.2
2018-06-06,BN,11:20,Sq,RE,W/T,GA,25,37.6,30.2,52.6
2018-06-06,BN,11:24,QW,RE,T,GA,25,35.5,29.7,50.4
2018-06-06,BN,11:30,Ly,Tv,T,GA,0,Os,Os,Os
2018-06-06,BN,11:35,Ly,RE,T,GA,0,Os,Os,Os
2018-06-06,BN,11:40,St,RE,T,GA,0,33.3,28.6,51.9
2018-06-06,BN,11:45,QW,Tv,T,GA,0,Os,Os,Os
2018-06-06,BN,11:50,Ly,RE,T,GA,0,Os,Os,Os
2018-06-06,BN,11:55,Ly,RE,T,GA,0,Os,Os,Os
2018-06-06,BN,12:00,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,12:05,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,12:10,Os,Os,Os,Os,Os,Os,Os,Os
2018-06-06,BN,12:15,St,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:20,St,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:25,St,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:30,Ly,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:35,Ly,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:40,Ly,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:45,St,RE,A,GA,25,Os,Os,Os
2018-06-06,BN,12:50,St,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,12:55,St,RE,A,GA,0,Os,Os,Os
2018-06-06,BN,13:00,QW,Tv,T,GA,0,Os,Os,Os
2018-06-06,BN,13:05,St,RE,W/T,GA,25,Os,Os,Os
2018-06-06,BN,13:10,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:15,St,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:20,St,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:25,St,So,T,GA,25,Os,Os,Os
2018-06-06,BN,13:30,Ly,So,T,GA,25,Os,Os,Os
2018-06-06,BN,13:35,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:40,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:45,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:50,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,13:55,Ly,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,14:00,St,RE,T,GA,25,Os,Os,Os
2018-06-06,BN,14:05,St,So,T,GA,25,Os,Os,Os
2018-06-06,BN,14:10,Ly,RE,T,GA,0,33.4,29,45.8
2018-06-06,BN,14:15,St,RE,T,GA,0,38.6,31,61.3
2018-06-06,BN,14:20,Ly,RE,T,GA,0,Os,Os,Os
2018-06-06,BN,14:25,Ly,RE,T,GA,0,38.7,32.4,49
2018-06-06,BN,14:30,Ly,RE,T,GA,0,Os,Os,Os
